Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,674.1888456078844
2040,UK,Battery,48,Power,220.78114202662468
2040,DK,Battery,111,Power,37.3599953438588
2020,DE,H2Tank,55,H2,37.23156222035332
2040,DE,Battery,5,Power,0.0
2050,DE,PHS,54,Power,398.7676655391733
2050,UK,PHS,46,Power,149.29353495683907
2030,FR,H2Tank,75,H2,11.875
2050,DE,PHS,59,Power,441.6879008574586
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,281.9885790894739
2020,DK,Battery,114,Power,9.749740684261644
2040,UK,Battery,23,Power,-0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,29.6828491123882
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,2.418878146077174
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,283.3549908680358
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,18.61624949763158
2050,FR,Battery,93,Power,1085.4826343166453
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,-0.0
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,20.86298854554769
2030,NO,H2Tank,118,H2,18.8789511985
2040,NO,Battery,103,Power,-0.0
2050,NO,H2Tank,87,H2,145.26336792928973
2030,FR,H2Tank,83,H2,44.29824561403509
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,23.892947319371487
2040,DK,Battery,105,Power,41.15067595718781
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,5.014206764703281
2030,DE,H2Tank,112,H2,11.040006507044291
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,5.0656147990902545
2050,UK,H2Tank,7,H2,65.0
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,568.8943221334872
2030,DK,Battery,21,Power,-0.0
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,5.015209756502483
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,24.174123604581418
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,410.6272485186454
2020,DE,Battery,40,Power,-0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,163.3360074596553
2050,DE,PHS,65,Power,492.9095698087454
2030,DK,Battery,15,Power,0.0
2040,DE,Battery,49,Power,0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,468.2064070150148
2040,UK,Battery,42,Power,197.78556428671118
2050,NO,H2Tank,93,H2,145.26336792928973
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,23.98574561403509
2040,DE,H2Tank,110,H2,11.076028452807016
2020,DK,Battery,86,Power,30.088886221134118
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,37.494680960446885
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,10.6875
2020,DK,Battery,60,Power,41.70928920365068
2050,DK,Battery,45,Power,26.95927174539666
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,102.16127105151897
2040,UK,Battery,79,Power,113.36579679801858
2020,NO,H2Tank,91,H2,0.506604960799999
2030,DE,H2Tank,42,H2,13.157894736842104
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,1006.4668235311594
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,128.03920468199294
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,45.402132428879156
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,61.271382397906585
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,17.798070062859203
2020,DE,H2Tank,61,H2,31.268079432631577
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,139.10669084692634
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,5.002686766211856
2030,NO,H2Tank,61,H2,31.6451592974109
2040,FR,H2Tank,96,H2,8.548049965839253
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,49.97000749900008
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,220.73698800603077
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,11.0625
2040,DK,Battery,106,Power,41.14656088959209
2030,FR,Battery,68,Power,62.85135621708244
2050,UK,Battery,47,Power,234.2747095389637
2040,DE,H2Tank,98,H2,0.0
2050,NO,PHS,92,Power,471.0255040703232
2050,FR,PHS,83,Power,623.5253347703132
2030,NO,PHS,110,Power,-0.0
2040,FR,PHS,87,Power,-0.0
2030,DK,H2Tank,66,H2,0.0
2020,FR,PHS,60,Power,-0.0
2020,NO,Battery,49,Power,-0.0
2040,NO,PHS,59,Power,-0.0
2030,DK,PHS,66,Power,0.0
2030,DE,H2Tank,49,H2,0.0
2050,FR,Battery,55,Power,684.8185789566645
2030,NO,H2Tank,60,H2,34.93463298162143
2020,FR,PHS,80,Power,-0.0
2040,NO,PHS,51,Power,-0.0
2020,FR,PHS,93,Power,-0.0
2040,NO,H2Tank,106,H2,32.1166315298978
2020,DK,H2Tank,88,H2,0.0
2050,FR,H2Tank,76,H2,86.20675637314997
2050,DK,PHS,49,Power,60.772030622591366
2040,FR,Battery,30,Power,8.011348480344097
2030,UK,PHS,5,Power,-0.0
2050,DK,H2Tank,41,H2,21.653149795614038
2030,FR,Battery,101,Power,138.4156798902212
2030,UK,Battery,8,Power,47.85899032395817
2030,NO,PHS,19,Power,-0.0
2030,DK,H2Tank,10,H2,0.0
2020,DE,Battery,70,Power,-0.0
2030,FR,H2Tank,106,H2,44.788702385175476
2050,NO,PHS,31,Power,240.6685497845236
2040,FR,H2Tank,29,H2,21.958279094524528
2050,UK,PHS,56,Power,177.67265930318896
2040,UK,H2Tank,4,H2,22.125
2050,NO,PHS,80,Power,463.19444517299064
2050,DE,Battery,80,Power,564.0335615351013
2020,DK,Battery,101,Power,18.840384649658446
2050,NO,H2Tank,114,H2,64.43458447621043
2050,FR,Battery,3,Power,421.98065833992877
2020,NO,H2Tank,46,H2,0.20559964905375022
2040,DE,Battery,102,Power,77.35040703031373
2040,FR,H2Tank,16,H2,35.198365404446136
2040,DE,Battery,7,Power,0.0
2050,NO,Battery,106,Power,14.636319865512784
2050,NO,PHS,4,Power,412.9614864445677
2040,UK,H2Tank,77,H2,21.375
2040,DE,Battery,78,Power,23.434996013550574
2030,NO,Battery,112,Power,-0.0
2040,FR,H2Tank,114,H2,16.57024923125485
2020,FR,H2Tank,105,H2,40.0
2020,NO,PHS,75,Power,-0.0
2050,FR,PHS,111,Power,504.5225827481454
2050,NO,Battery,12,Power,1.6038763268319296
2040,DE,Battery,72,Power,5.12352485321059
2040,NO,H2Tank,29,H2,36.20173634
2040,NO,H2Tank,73,H2,40.01246629214572
2020,UK,H2Tank,28,H2,-0.0
2030,DE,PHS,77,Power,-0.0
2030,DK,PHS,21,Power,0.0
2030,NO,Battery,119,Power,-0.0
2030,DE,H2Tank,79,H2,69.1100154042
2040,NO,H2Tank,21,H2,-0.0
2040,UK,Battery,97,Power,215.24961169214006
2050,DE,H2Tank,72,H2,6.381048566992947
2050,DK,H2Tank,55,H2,40.0
2040,FR,H2Tank,52,H2,45.57631248085067
2050,NO,PHS,72,Power,412.67291923809836
2020,UK,H2Tank,112,H2,5.0
2020,DK,Battery,20,Power,-0.0
2050,UK,PHS,25,Power,98.18782721370974
2040,DK,PHS,29,Power,0.0
2040,DK,Battery,63,Power,48.77244567911448
2040,NO,Battery,42,Power,-0.0
2030,DK,Battery,33,Power,19.85556675407388
2020,DE,PHS,103,Power,-0.0
2030,DE,PHS,53,Power,-0.0
2030,NO,Battery,11,Power,-0.0
2030,NO,PHS,25,Power,-0.0
2030,UK,H2Tank,95,H2,-0.0
2020,FR,H2Tank,86,H2,37.02609580228293
2040,DK,PHS,7,Power,0.0
2030,UK,Battery,6,Power,47.86856355798413
2030,DK,Battery,70,Power,20.44934755769914
2040,UK,PHS,101,Power,-0.0
2030,UK,PHS,6,Power,-0.0
2030,UK,H2Tank,88,H2,3.1578947368421053
2030,UK,Battery,98,Power,102.53809460237167
2050,DE,H2Tank,93,H2,175.0
2040,UK,PHS,4,Power,-0.0
2030,FR,H2Tank,49,H2,0.0
2050,NO,Battery,13,Power,1.6037159391992464
2030,UK,H2Tank,26,H2,0.0
2050,UK,H2Tank,58,H2,130.0
2040,NO,Battery,24,Power,-0.0
2030,DE,H2Tank,9,H2,2.418878146077174
2050,DK,PHS,77,Power,100.53107117627594
2020,DE,PHS,118,Power,-0.0
2040,NO,H2Tank,42,H2,27.098288867894734
2020,DE,H2Tank,18,H2,-0.0
2050,NO,Battery,71,Power,8.204930706393256
2030,UK,Battery,57,Power,103.73439699540603
2020,DE,PHS,113,Power,-0.0
2050,DK,H2Tank,103,H2,40.0
2050,UK,H2Tank,71,H2,14.66662053499997
2050,DE,PHS,67,Power,509.9152435786977
2020,NO,H2Tank,28,H2,0.20559964905375022
2050,DE,PHS,101,Power,611.5148024092714
2020,UK,H2Tank,99,H2,7.629648627880732
2050,DK,PHS,119,Power,100.10010010010011
2050,FR,PHS,92,Power,553.5189677460602
2050,DE,PHS,52,Power,381.5393627252611
2050,UK,H2Tank,72,H2,13.706140350877194
2040,UK,H2Tank,91,H2,6.31578947368421
2020,UK,Battery,64,Power,0.0
2030,DK,PHS,41,Power,0.0
2050,FR,PHS,62,Power,485.17789534242837
2040,DK,H2Tank,93,H2,6.823860934759654
2050,DK,PHS,114,Power,100.60210561262528
2030,NO,PHS,119,Power,-0.0
2050,NO,Battery,116,Power,8.235327935958678
2040,FR,H2Tank,28,H2,6.138744294162272
2020,DK,Battery,71,Power,18.6835624134675
2030,DK,H2Tank,70,H2,0.0
2040,DK,H2Tank,69,H2,8.223684210526315
2030,DK,Battery,79,Power,57.69563262113086
2050,DK,H2Tank,97,H2,34.18472833603145
2020,DE,PHS,115,Power,-0.0
2030,DK,H2Tank,3,H2,0.0
2020,NO,PHS,86,Power,-0.0
2020,DK,Battery,88,Power,30.08286874477876
2030,NO,PHS,93,Power,-0.0
2030,NO,H2Tank,27,H2,0.24720267326243758
2030,UK,H2Tank,39,H2,5.768262287192985
2040,DE,H2Tank,59,H2,130.0
2030,DK,Battery,82,Power,74.64530431206087
2050,DK,Battery,48,Power,0.0
2030,DK,PHS,100,Power,0.0
2020,NO,Battery,92,Power,0.0
2040,DE,Battery,13,Power,0.0
2030,FR,PHS,8,Power,-0.0
2030,DK,PHS,54,Power,0.0
2020,NO,H2Tank,72,H2,0.20559964905375022
2020,UK,PHS,108,Power,-0.0
2040,DE,PHS,98,Power,-0.0
2020,UK,PHS,41,Power,-0.0
2040,DK,Battery,57,Power,37.95406867637431
2020,NO,PHS,117,Power,-0.0
2030,UK,PHS,67,Power,-0.0
2020,FR,PHS,89,Power,-0.0
2020,NO,PHS,85,Power,-0.0
2030,FR,Battery,28,Power,-0.0
2040,NO,Battery,20,Power,-0.0
