Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,722.4030603429167
2040,UK,Battery,48,Power,224.60202625203314
2040,DK,Battery,111,Power,37.35999534385877
2020,DE,H2Tank,55,H2,37.23156222035332
2040,DE,Battery,5,Power,65.45580805325451
2050,DE,PHS,54,Power,389.93713522539383
2050,UK,PHS,46,Power,149.29353495683907
2030,FR,H2Tank,75,H2,11.875
2050,DE,PHS,59,Power,432.90143497820605
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,313.4138383828083
2020,DK,Battery,114,Power,9.749740684261656
2040,UK,Battery,23,Power,-0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,29.68284911238821
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,2.4188781460771813
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,285.7903656824189
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,18.61624949763158
2050,FR,Battery,93,Power,1097.44111366258
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,-0.0
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,20.86298854554769
2030,NO,H2Tank,118,H2,18.8789511985
2040,NO,Battery,103,Power,-0.0
2050,NO,H2Tank,87,H2,145.08665743137357
2030,FR,H2Tank,83,H2,44.29824561403509
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,23.892947319371498
2040,DK,Battery,105,Power,41.15067595718778
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,5.014206764703281
2030,DE,H2Tank,112,H2,11.040006507044287
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,5.065614799090266
2050,UK,H2Tank,7,H2,39.76394493452573
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,568.8943221334872
2030,DK,Battery,21,Power,-0.0
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,5.015209756502483
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,24.1741236045814
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,410.6272485186454
2020,DE,Battery,40,Power,-0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,165.734649122807
2050,DE,PHS,65,Power,484.17569110337774
2030,DK,Battery,15,Power,0.0
2040,DE,Battery,49,Power,0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,433.05412322659237
2040,UK,Battery,42,Power,202.45351666256954
2050,NO,H2Tank,93,H2,145.08665743137357
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,23.98574561403509
2040,DE,H2Tank,110,H2,11.07602845280702
2020,DK,Battery,86,Power,30.088886221134153
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,37.494680960446885
2030,DE,PHS,83,Power,0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,10.6875
2020,DK,Battery,60,Power,41.70928920365068
2050,DK,Battery,45,Power,35.22467806477679
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,105.48234748957167
2040,UK,Battery,79,Power,113.36579679801858
2020,NO,H2Tank,91,H2,0.506604960799999
2030,DE,H2Tank,42,H2,13.157894736842104
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,1093.6442994600554
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,117.66865852868759
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,45.72330073310434
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,61.271382397906585
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,17.798070062859203
2020,DE,H2Tank,61,H2,31.268079432631577
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,143.9546274707937
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,5.002686766211856
2030,NO,H2Tank,61,H2,40.0
2040,FR,H2Tank,96,H2,8.548049965839253
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,49.97000749900008
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,224.557108092803
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,11.0625
2040,DK,Battery,106,Power,41.14656088959206
2030,FR,Battery,68,Power,62.85135621708245
